Gene name,Common canary gene name,Common carp gene name,Common wall lizard gene name,Common wombat gene name,Coquerel's sifaka gene name
EGLN1,EGLN1,egln1b,EGLN1,,EGLN1
EGLN1,EGLN1,egln1a,EGLN1,,EGLN1
EGLN1,EGLN1,,EGLN1,,EGLN1
EGLN1,EGLN1,egln1a,EGLN1,,EGLN1
EGLN1,EGLN1,egln1b,EGLN1,,EGLN1
MNX1-AS2,,,,,
,,,,,
FAM20A,FAM20A,,FAM20A,FAM20A,FAM20A
FAM20A,FAM20A,,FAM20A,FAM20A,FAM20A
,,,,,
RPS27AP12,,,,,
,,,,,
GCK,GCK,gck,GCK,GCK,GCK
GCK,GCK,gck,GCK,GCK,GCK
HNRNPA1P2,,,,,
RNU6-603P,,,,,
HLA-DRA,,,,HLA-DRA,HLA-DRA
MOG,,,,,
,,,,,
PPT2,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PPP1R18,,ppp1r18,,PPP1R18,PPP1R18
LRIG1,LRIG1,LRIG1,LRIG1,LRIG1,LRIG1
LRIG1,LRIG1,LRIG1,LRIG1,LRIG1,LRIG1
BETALINC1,,,,,
,,,,,
GNG4,GNG4,GNG4,GNG4,,GNG4
GNG4,GNG4,GNG4,GNG4,,GNG4
GNG4,GNG4,GNG4,GNG4,,GNG4
GNG4,GNG4,GNG4,GNG4,,GNG4
,,,,,
LINC01726,,,,,
ANKDD1B,ANKDD1B,,ANKDD1B,ANKDD1B,ANKDD1B
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PFKFB1,,pfkfb1,PFKFB1,PFKFB1,PFKFB1
PFKFB1,,pfkfb1,PFKFB1,PFKFB1,PFKFB1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ZDHHC24,,,,,ZDHHC24
,,,,,
VSX1,,vsx1,VSX1,VSX1,VSX1
VSX1,,vsx1,VSX1,VSX1,VSX1
TGFB2-OT1,,,,,
TUBB8P10,,,,,
QRSL1P2,,,,,
PAPPA2,PAPPA2,pappa2,PAPPA2,PAPPA2,PAPPA2
PAPPA2,PAPPA2,pappa2,PAPPA2,PAPPA2,PAPPA2
ZNF513,ZNF513,znf513a,ZNF513,ZNF513,ZNF513
ZNF513,ZNF513,znf513a,ZNF513,ZNF513,ZNF513
ZNF513,ZNF513,znf513b,ZNF513,ZNF513,ZNF513
ZNF513,ZNF513,znf513b,ZNF513,ZNF513,ZNF513
RPL7P4,,,,,
MDC1-AS1,,,,,
TUBB,TUBB,tubb5,,TUBB,TUBB
TUBB,TUBB,tubb5,,TUBB,TUBB
ACTN3,,actn3a,ACTN3,ACTN3,ACTN3
ACTN3,,actn3b,ACTN3,ACTN3,ACTN3
ACTN3,,actn3b,ACTN3,ACTN3,ACTN3
ACTN3,,actn3a,ACTN3,ACTN3,ACTN3
PPM1G,PPM1G,ppm1g,PPM1G,PPM1G,PPM1G
PPM1G,PPM1G,ppm1g,PPM1G,PPM1G,PPM1G
,,,,,
ARSG,ARSG,arsg,ARSG,ARSG,ARSG
DNAH5,,,DNAH5,DNAH5,DNAH5
DNAH5,,,DNAH5,DNAH5,DNAH5
DNAH5,,,DNAH5,DNAH5,DNAH5
,,,,,
,,,,,
WDR83OS,,wdr83os,,WDR83OS,WDR83OS
WDR83OS,,wdr83os,,WDR83OS,WDR83OS
WDR83OS,,wdr83os,,WDR83OS,WDR83OS
WDR83OS,,wdr83os,,WDR83OS,WDR83OS
FLOT1,FLOT1,flot1a,FLOT1,FLOT1,FLOT1
FLOT1,FLOT1,flot1a,FLOT1,FLOT1,FLOT1
FLOT1,FLOT1,flot1b,FLOT1,FLOT1,FLOT1
FLOT1,FLOT1,flot1b,FLOT1,FLOT1,FLOT1
,,,,,
FBXW9,,fbxw9,FBXW9,FBXW9,FBXW9
FBXW9,,fbxw9,FBXW9,FBXW9,FBXW9
VTCN1P1,,,,,
ENTPD6,ENTPD6,entpd6,ENTPD6,ENTPD6,ENTPD6
ENTPD6,ENTPD6,entpd6,ENTPD6,ENTPD6,ENTPD6
FTH1P3,,,,,
NRBP1,NRBP1,nrbp1,NRBP1,NRBP1,NRBP1
NRBP1,NRBP1,nrbp1,NRBP1,NRBP1,NRBP1
RPL32P17,,,,,
,,,,,
SNORD41,,,,,
SNORD41,,,,,
CLPTM1LP1,,,,,
C7orf33,,,,,
,,,,,
TRIR,,trir,TRIR,TRIR,TRIR
TRIR,,trir,TRIR,TRIR,TRIR
LRRN2,LRRN2,,LRRN2,LRRN2,LRRN2
LRRN2,LRRN2,,LRRN2,LRRN2,LRRN2
AMZ2,,,AMZ2,,AMZ2
AMZ2,,,AMZ2,,AMZ2
,,,,,
EZH2,EZH2,ezh2,EZH2,EZH2,EZH2
EZH2,EZH2,ezh2,EZH2,EZH2,EZH2
,,,,,
GET3,,get3,GET3,GET3,GET3
GET3,,get3,GET3,GET3,GET3
,,,,,
,,,,,
,,,,,
MUC21,,,,,
FLOT1,,,,,
RPSAP59,,,,,
PPP2R5A,PPP2R5A,PPP2R5A,PPP2R5A,PPP2R5A,PPP2R5A
PPP2R5A,PPP2R5A,PPP2R5A,PPP2R5A,PPP2R5A,PPP2R5A
BEX4,,,,,
BEST2,,,BEST2,BEST2,BEST2
BEST2,,,BEST2,BEST2,BEST2
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
WWC3,WWC3,wwc3,,WWC3,
,,,,,
,,,,,
,,,,,
MIR4487,,,,,
,,,,,
LINC01521,,,,,
,,,,,
SLC39A13,SLC39A13,slc39a13,SLC39A13,SLC39A13,SLC39A13
SLC39A13,SLC39A13,slc39a13,SLC39A13,SLC39A13,SLC39A13
,,,,,
RRP7BP,,,,,
MIR5684,,,,,
ZIC4,ZIC4,zic4,ZIC4,ZIC4,ZIC4
ZIC4,ZIC4,zic4,ZIC4,ZIC4,ZIC4
JUNB,,,JUNB,JUNB,JUNB
JUNB,,junba,JUNB,JUNB,JUNB
JUNB,,,JUNB,JUNB,JUNB
JUNB,,junba,JUNB,JUNB,JUNB
PRDX2,,,PRDX2,PRDX2,PRDX2
KCTD5,,,KCTD5,,KCTD5
KCTD5,,,KCTD5,,KCTD5
KCTD5,,kctd5a,KCTD5,,KCTD5
KCTD5,,kctd5a,KCTD5,,KCTD5
,,,,,
PRSS27,,,,,PRSS27
PRSS27,,,,,PRSS27
PRSS27,,,,,PRSS27
PRSS27,,,,,PRSS27
RNASEH2A,,rnaseh2a,RNASEH2A,RNASEH2A,RNASEH2A
ERCC8,ERCC8,ercc8,ERCC8,ERCC8,ERCC8
ERCC8,ERCC8,ercc8,ERCC8,ERCC8,ERCC8
KANTR,,,,,
KRTCAP3,KRTCAP3,,KRTCAP3,KRTCAP3,KRTCAP3
KRTCAP3,KRTCAP3,,KRTCAP3,KRTCAP3,KRTCAP3
Y_RNA,,,,,
IER3,,zgc:158343,,IER3,IER3
IER3,,zgc:158343,,IER3,IER3
SPMIP3,,,,,SPMIP3
TCP11X1,,,,,
Y_RNA,,,,,
MIR6785,,,,,
CASKIN2,,,,,CASKIN2
CASKIN2,,,,,CASKIN2
CASKIN2,,,,,CASKIN2
CASKIN2,,,,,CASKIN2
CASKIN2,,,,,CASKIN2
RNU7-20P,,,,,
Metazoa_SRP,,,,,
RN7SL569P,,,,,
,,,,,
RNY4,,,,,
RNY3,,,,,
RNY1,,,,,
GHET1,,,,,
MIR6794,,,,,
RNU6-650P,,,,,
RPS6P25,,,,,
COX6B1P1,,,,,
RN7SL353P,,,,,
CCDC146,,,CCDC146,CCDC146,CCDC146
TUBB2B,,,,,
TUBB2B,,tubb2,,,
,,,,,
TCP11X2,,,,,
SNORA3C,,,,,
PRSS21,,,,,
PRSS21,,,,,
PRSS21,,,,,
PRSS21,,,,,
PRSS21,,,,,
HOOK2,,,HOOK2,HOOK2,HOOK2
HOOK2,,,HOOK2,HOOK2,HOOK2
,,,,,
,,,,,
SPATA45,,,,,SPATA45
PSMG4,PSMG4,,PSMG4,PSMG4,PSMG4
PLA2G4A,PLA2G4A,PLA2G4A,PLA2G4A,PLA2G4A,PLA2G4A
PLA2G4A,PLA2G4A,pla2g4aa,PLA2G4A,PLA2G4A,PLA2G4A
PLA2G4A,PLA2G4A,PLA2G4A,PLA2G4A,PLA2G4A,PLA2G4A
PLA2G4A,PLA2G4A,pla2g4aa,PLA2G4A,PLA2G4A,PLA2G4A
KLHL13,,,,,KLHL13
KLHL13,,,,,KLHL13
KLHL13,,,,,KLHL13
KLHL13,,,,,KLHL13
Metazoa_SRP,,,,,
,,,,,
,,,,,
,,,,,
SPRING1,SPRING1,spring1,SPRING1,SPRING1,SPRING1
SPRING1,SPRING1,spring1,SPRING1,SPRING1,SPRING1
RNU6-986P,,,,U6,
FNDC4,FNDC4,fndc4a,FNDC4,FNDC4,FNDC4
FNDC4,FNDC4,fndc4b,FNDC4,FNDC4,FNDC4
FNDC4,FNDC4,fndc4a,FNDC4,FNDC4,FNDC4
FNDC4,FNDC4,fndc4b,FNDC4,FNDC4,FNDC4
BRD2,,,,,
PPP1R10,,,,,
THPO,,thpo,,,
THPO,,thpo,,,
RAPSN,RAPSN,rapsn,,RAPSN,RAPSN
RAPSN,RAPSN,rapsn,,RAPSN,RAPSN
TSBP1,,,,,
,,,,,
RNU6-558P,,,,U6,
,,,,,
HRK,,,,HRK,HRK
SLC22A23,SLC22A23,slc22a23,SLC22A23,SLC22A23,SLC22A23
SLC22A23,SLC22A23,,SLC22A23,SLC22A23,SLC22A23
SLC22A23,SLC22A23,slc22a23,SLC22A23,SLC22A23,SLC22A23
SLC22A23,SLC22A23,,SLC22A23,SLC22A23,SLC22A23
OR6C70,,,,,
Y_RNA,,,,,
OR6C68,,,,,
,,,,,
NCR3,,,,,
,,,,,
OR6C64P,,,,,
MIR4650-2,,,,,
,,,,,
,,,,,
RN7SL377P,,,,,
RN7SL625P,,,,,
,,,,,
TRIM74,,,,,
HLA-DPA1,,,,,
SCNN1A,SCNN1A,,SCNN1A,SCNN1A,SCNN1A
TSEN54,TSEN54,tsen54,TSEN54,TSEN54,TSEN54
,,,,,
TOP1P1,,,,,
NOTCH3,,notch3,NOTCH3,NOTCH3,NOTCH3
NOTCH3,,notch3,NOTCH3,NOTCH3,NOTCH3
RPS3AP9,,,,,
,,,,,
,,,,,
,,,,,
Y_RNA,,,,,
Y_RNA,,,,,
Y_RNA,,,,,
Y_RNA,,,,,
Y_RNA,,,,,
EIF1P4,,,,,
PHB1P5,,,,,
Y_RNA,,,,,
PHB1P6,,,,,
C16orf89,,si:ch211-76l23.7,C16orf89,,C16orf89
C16orf89,,si:ch211-76l23.7,C16orf89,,C16orf89
C16orf89,,si:ch211-76l23.7,C16orf89,,C16orf89
C16orf89,,si:ch211-76l23.7,C16orf89,,C16orf89
C16orf89,,si:ch211-76l23.7,C16orf89,,C16orf89
C16orf89,,si:ch211-76l23.7,C16orf89,,C16orf89
SHCBP1L,,,SHCBP1L,SHCBP1L,SHCBP1L
PMS2P13,,,,,
Y_RNA,,,,,
PMS2P10,,,,,
Y_RNA,,,,,
Y_RNA,,,,,
Y_RNA,,,,,
ZNF853,,,,,ZNF853
ZNF316,,,,ZNF316,ZNF316
AIF1,,,,,
,,,,,
IFT172,IFT172,ift172,IFT172,IFT172,IFT172
IFT172,IFT172,ift172,IFT172,IFT172,IFT172
,,,,,
RN7SL652P,,,,,
,,,,,
,,,,,
HLA-DQB1,,,,,
NDUFS3,NDUFS3,ndufs3,NDUFS3,NDUFS3,NDUFS3
NDUFS3,NDUFS3,ndufs3,NDUFS3,NDUFS3,NDUFS3
SERHL,,,,,
ZFP57,,,,,
ZNF12,,,,,
NMD3,NMD3,nmd3,NMD3,NMD3,
NMD3,NMD3,nmd3,NMD3,NMD3,
CRIPTO3,,,,,
GATA1,,gata1a,GATA1,,GATA1
GATA1,,,GATA1,,GATA1
HCG4P8,,,,,
TAP2,,,,,
LY6G6F,,,,,
LLGL2,LLGL2,llgl2,LLGL2,LLGL2,LLGL2
LLGL2,LLGL2,llgl2,LLGL2,LLGL2,LLGL2
SPDYE20P,,,,,
DEF8,DEF8,,DEF8,DEF8,DEF8
UQCRHP1,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ZDHHC20P1,,,,,
,,,,,
RANP1,,,,,
MUCL3,,,,,
MUC3A,,,,,
RPL23AP22,,,,,
,,,,,
RPL13AP,,,,,
VARS2,,,,,
,,,,,
RPL10AP5,,,,,
RPL18AP15,,,,,
RNA5SP512,,,,,
LPGAT1,LPGAT1,lpgat1,LPGAT1,LPGAT1,LPGAT1
LPGAT1,LPGAT1,lpgat1,LPGAT1,LPGAT1,LPGAT1
ALG13-AS1,,,,,
TRPC5OS,,,,,
,,,,,
MIR6795,,,,,
,,,,,
MUC17,,,,,
EPHX3,,si:dkey-122a22.2,,EPHX3,EPHX3
EPHX3,,si:dkey-122a22.2,,EPHX3,EPHX3
,,,,,
SKIC2,,,,,
LTBR,,tnfrsf1b,,LTBR,LTBR
LTBR,,tnfrsf1b,,LTBR,LTBR
LTBR,,cd40,,LTBR,LTBR
LTBR,,cd40,,LTBR,LTBR
LTBR,,tnfrsfa,,LTBR,LTBR
LTBR,,tnfrsfa,,LTBR,LTBR
LTBR,,hdr,,LTBR,LTBR
LTBR,,tnfrsf11a,,LTBR,LTBR
LTBR,,tnfrsf11a,,LTBR,LTBR
LTBR,,nradd,,LTBR,LTBR
LTBR,,nradd,,LTBR,LTBR
OGT,OGT,,OGT,OGT,OGT
OGT,OGT,,OGT,OGT,OGT
RPL23AP18,,,,,
,,,,,
,,,,,
DUTP6,,,,,
,,,,,
,,,,,
PTPMT1,PTPMT1,ptpmt1,PTPMT1,,PTPMT1
PTPMT1,PTPMT1,ptpmt1,PTPMT1,,PTPMT1
,,,,,
PTP4A1P7,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TUBB2A,,,,TUBB2A,
RN7SKP54,,,,,
TRIM56,,,,,
TRIM56,,,,,
TRIM56,,,,,
KBTBD4,KBTBD4,kbtbd4,KBTBD4,KBTBD4,KBTBD4
KBTBD4,KBTBD4,kbtbd4,KBTBD4,KBTBD4,KBTBD4
SHKBP1,,shkbp1,SHKBP1,SHKBP1,SHKBP1
SHKBP1,,shkbp1,SHKBP1,SHKBP1,SHKBP1
NUP50P4,,,,,
,,,,,
NHP2P2,,,,,
HLA-W,,,,,
,,,,,
HOXA1,HOXA1,HOXA1,HOXA1,,HOXA1
HOXA1,HOXA1,HOXA1,HOXA1,,HOXA1
HOXA1,HOXA1,HOXA1,HOXA1,,HOXA1
HOXA1,HOXA1,HOXA1,HOXA1,,HOXA1
COL11A2,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
HMGN1P12,,,,,
COL12A1,COL12A1,COL12A1,COL12A1,COL12A1,COL12A1
COL12A1,COL12A1,COL12A1,COL12A1,COL12A1,COL12A1
COL12A1,COL12A1,COL12A1,COL12A1,COL12A1,COL12A1
COL12A1,COL12A1,,COL12A1,COL12A1,COL12A1
CARTPT,,,CARTPT,CARTPT,CARTPT
CARTPT,,,CARTPT,CARTPT,CARTPT
CARTPT,,,CARTPT,CARTPT,CARTPT
CARTPT,,,CARTPT,CARTPT,CARTPT
,,,,,
TATDN3,TATDN3,,TATDN3,TATDN3,
TATDN3,TATDN3,,TATDN3,TATDN3,
LINC01640,,,,,
HOXA2,,,HOXA2,,HOXA2
SLC7A8,,slc7a8a,SLC7A8,SLC7A8,SLC7A8
SLC7A8,,slc7a8a,SLC7A8,SLC7A8,SLC7A8
SLC7A8,,,SLC7A8,SLC7A8,SLC7A8
SLC7A8,,,SLC7A8,SLC7A8,SLC7A8
RPS6KA6,RPS6KA6,rps6kal,RPS6KA6,RPS6KA6,RPS6KA6
RPS6KA6,RPS6KA6,rps6kal,RPS6KA6,RPS6KA6,RPS6KA6
,,,,,
,,,,,
,,,,,
HOXA5,HOXA5,hoxa5a,HOXA5,,HOXA5
HOXA5,HOXA5,hoxa5a,HOXA5,,HOXA5
HOXA5,HOXA5,hoxa5a,HOXA5,,HOXA5
HOXA5,HOXA5,hoxa5a,HOXA5,,HOXA5
,,,,,
,,,,,
,,,,,
RNU5E-10P,,,,U5,
RNU5E-10P,,,,U5,
RPL31P10,,,,,
,,,,,
SRP14P1,,,,,
FAM180B,,,,,FAM180B
FAM180B,,,,,FAM180B
RNA5SP190,,,,,
HOXA6,HOXA6,,HOXA6,,HOXA6
HOXA6,HOXA6,,HOXA6,,HOXA6
RPL21P58,,,,,
TAPBPL,,,,TAPBPL,TAPBPL
TAPBPL,,,,TAPBPL,TAPBPL
FABP5P6,,,,,
TUBAP15,,,,,
,,,,,
C1QTNF4,C1QTNF4,c1qtnf4,C1QTNF4,,
C1QTNF4,C1QTNF4,c1qtnf4,C1QTNF4,,
,,,,,
CACNG2-DT,,,,,
,,,,,
HOXA7,HOXA7,,HOXA7,,HOXA7
HOXA7,HOXA7,,HOXA7,,HOXA7
Y_RNA,,,,,
,,,,,
,,,,,
,,,,,
FNBP4,FNBP4,fnbp4,FNBP4,FNBP4,FNBP4
FNBP4,FNBP4,fnbp4,FNBP4,FNBP4,FNBP4
SPATA2,SPATA2,spata2,SPATA2,SPATA2,SPATA2
SPATA2,SPATA2,spata2,SPATA2,SPATA2,SPATA2
,,,,,
,,,,,
,,,,,
HOXA9,,hmx4,,,HOXA9
HOXA9,,hmx4,,,HOXA9
HOXA9,,hmx4,,,HOXA9
HOXA9,,hmx4,,,HOXA9
,,,,,
,,,,,
TTLL1-AS1,,,,,
HSD17B4,HSD17B4,hsd17b4,HSD17B4,HSD17B4,HSD17B4
Y_RNA,,,,,
Metazoa_SRP,,,,,
RNF114,RNF114,rnf114,RNF114,RNF114,RNF114
RNF114,RNF114,rnf114,RNF114,RNF114,RNF114
LINC01656,,,,,
,,,,,
MIR196B,MIR196B,,,,
MIR196B,MIR196B,,,,
HOXA11,HOXA11,hoxa11a,HOXA11,,HOXA11
HOXA11,HOXA11,hoxa11b,HOXA11,,HOXA11
HOXA11,HOXA11,hoxa11b,HOXA11,,HOXA11
HOXA11,HOXA11,hoxa11a,HOXA11,,HOXA11
HOXA11,HOXA11,hoxa11b,HOXA11,,HOXA11
HOXA11,HOXA11,hoxa11b,HOXA11,,HOXA11
,,,,,
TOMM22-DT,,,,,
VAMP1-AS1,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
HOXA13,HOXA13,,,,HOXA13
HOXA13,HOXA13,,,,HOXA13
LINC00207,,,,,
CD9,CD9,,CD9,,CD9
CD9,CD9,,CD9,,CD9
CD9,CD9,,CD9,,CD9
CD9,CD9,,CD9,,CD9
,,,,,
HLA-DOB,,,,,
STK19B,,,,,
,,,,,
,,,,,
,,,,,
RGL2,,,,,
,,,,,
EVX1,EVX1,evx1,EVX1,,EVX1
EVX1,EVX1,evx1,EVX1,,EVX1
EVX1,EVX1,evx1,EVX1,,EVX1
EVX1,EVX1,evx1,EVX1,,EVX1
TCF7L2,TCF7L2,tcf7l2,TCF7L2,TCF7L2,TCF7L2
TCF7L2,TCF7L2,tcf7l2,TCF7L2,TCF7L2,TCF7L2
MIR548I4,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
POM121B,,,,,
MYH9-DT,,,,,
Y_RNA,,,,,
,,,,,
RNA5SP340,,,,,
,,,,,
Y_RNA,,,,,
KRT18P4,,,,,
YPEL5P2,,,,,
RNU6-147P,,,,U6,
PPP1R18,,,,,
NSUN5,NSUN5,nsun5,NSUN5,NSUN5,NSUN5
NSUN5,NSUN5,nsun5,NSUN5,NSUN5,NSUN5
SH3KBP1,SH3KBP1,,SH3KBP1,,SH3KBP1
SH3KBP1,SH3KBP1,,SH3KBP1,,SH3KBP1
SNAI1,,snai1a,SNAI1,SNAI1,SNAI1
SNAI1,,snai1a,SNAI1,SNAI1,SNAI1
SNAI1,,snai1b,SNAI1,SNAI1,SNAI1
SNAI1,,snai1b,SNAI1,SNAI1,SNAI1
P4HA3-AS1,,,,,
SCREEM1,,,,,
PGM2L1,PGM2L1,pgm2l1,PGM2L1,PGM2L1,PGM2L1
IFITM4P,,,,,
HLA-G,,,,,
,,,,,
,,,,,
TRERNA1,,,,,
PCAT14,,,,,
,,,,,
,,,,,
PRRT1,,,,,
,,,,,
ARHGEF3,ARHGEF3,arhgef3,ARHGEF3,ARHGEF3,ARHGEF3
ARHGEF3,ARHGEF3,arhgef3,ARHGEF3,ARHGEF3,ARHGEF3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CECR3,,,,,
HNRNPA1P40,,,,,
,,,,,
MIR548AL,,,,,
CYCSP27,,,,,
RFPL3S,,,,,
,,,,,
,,,,,
RNU7-151P,U7,,,U7,
RNU7-151P,U7,,,U7,
,,,,,
TRIM39,,,,,
LIPT2,,lipt2,LIPT2,LIPT2,LIPT2
LIPT2,,lipt2,LIPT2,LIPT2,LIPT2
Y_RNA,,,,,
MIR3139,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
KCNE3,KCNE3,,,KCNE3,
,,,,,
LINC00656,,,,,
TMEM183AP1,,,,,
SETD7,SETD7,setd7,SETD7,SETD7,SETD7
SETD7,SETD7,setd7,SETD7,SETD7,SETD7
RPL7AP77,,,,,
DDX39B,,,,,
TRIM50,,,TRIM50,TRIM50,TRIM50
,,,,,
,,,,,
STAT5A,,stat5b,,,STAT5A
STAT5A,,stat5a,,,STAT5A
STAT5A,,stat5b,,,STAT5A
STAT5A,,stat5a,,,STAT5A
,,,,,
,,,,,
LINC03125,,,,,
,,,,,
UFD1-AS1,,,,,
,,,,,
LINC02558,,,,,
FKBP6,FKBP6,,FKBP6,FKBP6,FKBP6
FKBP6,FKBP6,,FKBP6,FKBP6,FKBP6
LTBP4,,,LTBP4,LTBP4,LTBP4
LTBP4,,,LTBP4,LTBP4,LTBP4
,,,,,
CTSF,,ctsf,,CTSF,CTSF
CTSF,,ctsf,,CTSF,CTSF
CTSF,,ctsbb,,CTSF,CTSF
CTSF,,tinagl1,,CTSF,CTSF
CTSF,,tinagl1,,CTSF,CTSF
CTSF,,,,CTSF,CTSF
CTSF,,ctsl.1,,CTSF,CTSF
CTSF,,ctsl.1,,CTSF,CTSF
CTSF,,ctss1,,CTSF,CTSF
CTSF,,ctss1,,CTSF,CTSF
GPX2,GPX2,,GPX2,GPX2,GPX2
,,,,,
,,,,,
,,,,,
FTH1P24,,,,,
,,,,,
,,,,,
MGST2,,mgst2,,MGST2,MGST2
MGST2,,mgst2,,MGST2,MGST2
CALM1,CALM1,,CALM1,CALM1,CALM1
,,,,,
,,,,,
,,,,,
HLA-C,,,,,
,,,,,
,,,,,
HMGN1P4,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CD93,,cd248a,,CD93,CD93
CD93,,cd248b,,CD93,CD93
CD93,,cd248b,,CD93,CD93
,,,,,
,,,,,
,,,,,
,,,,,
RN7SKP237,,,,,
,,,,,
H3P16,,,,,
,,,,,
BBLNP1,,,,,
,,,,,
,,,,,
SELP,,,,SELP,SELP
FRG1EP,,,,,
,,,,,
AIMP1,AIMP1,aimp1a,AIMP1,AIMP1,AIMP1
AIMP1,AIMP1,aimp1a,AIMP1,AIMP1,AIMP1
,,,,,
,,,,,
RNU6-343P,,,,,
,,,,,
,,,,,
ATP5F1B,ATP5F1B,atp5f1b,,ATP5F1B,ATP5F1B
ATP5F1B,ATP5F1B,atp5f1b,,ATP5F1B,ATP5F1B
ATP5F1B,ATP5F1B,atp5f1b,,ATP5F1B,ATP5F1B
ATP5F1B,ATP5F1B,atp5f1b,,ATP5F1B,ATP5F1B
RNU6-1080P,,,,,
HMGN2P11,,,,,
,,,,,
HSPA8P16,,,,,
CST9LP1,,,,,
,,,,,
,,,,,
SEMA3D,SEMA3D,sema3d,SEMA3D,SEMA3D,
SEMA3D,SEMA3D,sema3d,SEMA3D,SEMA3D,
RPS27AP2,,,,,
,,,,,
,,,,,
FRG1DP,,,,,
,,,,,
TAF1C,,,TAF1C,TAF1C,
,,,,,
,,,,,
,,,,,
,,,,,
THAP7-AS1,,,,,
MLLT10P1,,,,,
,,,,,
,,,,,
FRG1BP,,,,,
,,,,,
,,,,,
,,,,,
FRG1BP,,,,,
HLA-DQA1,,,,,
,,,,,
,,,,,
FAM230E,,,,,
,,,,,
,,,,,
EAPP,EAPP,eapp,EAPP,,EAPP
PHB1P15,,,,,
SNORD59A,,,,,
SNORD59A,,,,,
SNORD59A,,,,,
SNORD59A,,,,,
CASTOR2,CASTOR2,castor2,CASTOR2,CASTOR2,CASTOR2
CASTOR2,CASTOR2,castor2,CASTOR2,CASTOR2,CASTOR2
PTGES3,PTGES3,ptges3a,PTGES3,PTGES3,PTGES3
PTGES3,PTGES3,ptges3b,PTGES3,PTGES3,PTGES3
PTGES3,PTGES3,ptges3a,PTGES3,PTGES3,PTGES3
PTGES3,PTGES3,ptges3b,PTGES3,PTGES3,PTGES3
,,,,,
,,,,,
,,,,,
,,,,,
STPG3,,,,,
,,,,,
HNRNPC,,,,,
RARRES2P11,,,,,
,,,,,
PIEZO1P2,,,,,
RCC1L,RCC1L,rcc1l,RCC1L,RCC1L,RCC1L
RCC1L,RCC1L,rcc1l,RCC1L,RCC1L,RCC1L
,,,,,
,,,,,
,,,,,
RPS10P5,,,,,
,,,,,
,,,,,
VN1R108P,,,,,
,,,,,
BTNL2,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TMEM183AP1,,,,,
,,,,,
HLA-K,,,,,
SLC4A1APP2,,,,,
SFTA2,,,,,
RSL24D1P4,,,,,
BPNT2P1,,,,,
HCG4P8,,,,,
,,,,,
PTMAP1,,,,,
,,,,,
CAMK1G,CAMK1G,camk1gb,CAMK1G,CAMK1G,CAMK1G
CAMK1G,CAMK1G,camk1gb,CAMK1G,CAMK1G,CAMK1G
CAMK1G,CAMK1G,camk1ga,CAMK1G,CAMK1G,CAMK1G
CAMK1G,CAMK1G,camk1ga,CAMK1G,CAMK1G,CAMK1G
NELFE,,,,,
ELFN2,,,,,
FAM182B,,,,,
,,,,,
SNAPC3,SNAPC3,,SNAPC3,SNAPC3,SNAPC3
,,,,,
,,,,,
,,,,,
,,,,,
OGFRP1,,,,,
CCDC14,CCDC14,ccdc14,CCDC14,,CCDC14
CCDC14,CCDC14,ccdc14,CCDC14,,CCDC14
Metazoa_SRP,,,,,
Y_RNA,,,,,
FZD9,FZD9,,FZD9,FZD9,FZD9
FZD9,FZD9,fzd9b,FZD9,FZD9,FZD9
FZD9,FZD9,fzd9b,FZD9,FZD9,FZD9
,,,,,
RNA5SP161,,,,,
,,,,,
,,,,,
RNU6-197P,,,,U6,
MRPL22P1,,,,,
SPDYE19P,,,,,
KCTD11,,,KCTD11,KCTD11,KCTD11
C4B-AS1,,,,,
RPS17P7,,,,,
,,,,,
,,,,,
,,,,,
ATF6B,,,,,
SMG8,SMG8,smg8,SMG8,SMG8,SMG8
SMG8,SMG8,smg8,SMG8,SMG8,SMG8
AASDH,AASDH,aasdh,AASDH,AASDH,AASDH
RNU4ATAC,,,,,
,,,,,
Y_RNA,,,,,
,,,,,
